code;project_name;project_short_name;feature_name;feature_shotr_name;type;unit;unit_code;datasource_name;base_vallue;plan_2018;fact_2018;period_2018;plan_2019;fact_2019;period_2019;plan_2020;fact_2020;period_2020;plan_2021;fact_2021;period_2021;plan_2022;fact_2022;period_2022;plan_2023;fact_2023;period_2023;plan_2024;fact_2024;period_2024
A3;Цифровизация услуг и формирование информационного пространства в сфере культуры («Цифровая культура»);«Цифровая культура»;Количество онлайн-трансляций мероприятий, размещаемых на портале «Культура.РФ» (ед.);Количество онлайн-трансляций на портале «Культура.РФ»;Дополнительный показатель;Единица;642;;0.0;1.0;0.0;;100.0;137.0;;100.0;;;100.0;;;100.0;;;100.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Создание глобальной конкурентоспособной инфраструктуры функционирования цифровых платформ работы с данными для обеспечения потребностей граждан, бизнеса и власти на основе отечественных разработок;Создание глобальной конкурентоспособной инфраструктуры функционирования цифровых платформ для граждан, бизнеса и власти на основе отечественных разработок;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D2;Информационная инфраструктура;Информационная инфраструктура;Создание глобальной конкурентоспособной инфраструктуры обработки и хранения данных на основе отечественных разработок;Создание глобальной конкурентоспособной инфраструктуры обработки и хранения данных на основе отечественных разработок;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D2;Информационная инфраструктура;Информационная инфраструктура;Создание глобальной конкурентоспособной инфраструктуры передачи данных на основе отечественных разработок;Создание глобальной конкурентоспособной инфраструктуры передачи данных на основе отечественных разработок;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля медицинских организаций государственной и муниципальной систем здравоохранения (больницы и поликлиники), подключенных к сети "Интернет";Доля государственных и муниципальных медицинских организаций,подключенных к сети "Интернет";Дополнительный показатель;Процент;744;;95.0;95.0;;;100.0;;;100.0;;;100.0;;;100.0;;;100.0;;;0.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Реализованы не менее 10 цифровых платформ для основных предметных областей экономики;Реализованы не менее 10 цифровых платформ;Дополнительный показатель;Единица;642;;5.0;0.0;;;0.0;;;30.0;;;30.0;;;30.0;;;30.0;;;75.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Количество отраслей экономики, в которых внедрено использование сетей связи 5G;Количество отраслей экономики с внедрением сетей связи 5G;Дополнительный показатель;Единица;642;;1.0;0.0;1.0;;1.0;1.0;;2.0;;;0.0;;;0.0;;;0.0;;;5.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля органов государственной власти, органов местного самоуправления и государственных внебюджетных фондов, подключенных к сети "Интернет";Доля органов госвласти, ОМСУ и государственных внебюджетных фондов, подключенных к сети "Интернет";Дополнительный показатель;Процент;744;;18.82;18.82;18.82;;18.82;44.95;;18.82;;;18.82;;;59.4;;;79.7;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля государственных (муниципальных) образовательных организаций, реализующих образовательные программы общего образования и/или среднего профессионального образования, подключенных к сети "Интернет";Доля государственных и муниципальных образовательных организация общего образования и/или среднего профобразования, подключенных к сети "Интернет";Дополнительный показатель;Процент;744;;39.47;39.47;39.47;;59.65;52.6;;79.82;;;100.0;;;100.0;;;100.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля приоритетных объектов транспортной инфраструктуры (в т. ч. федеральных автомобильных дорог и железнодорожной инфраструктуры), оснащённых сетями связи с возможностью беспроводной передачи голоса и данных;Доля приоритетных объектов транспортной инфраструктуры, оснащенных сетями связи с возможностью беспроводной передачи голоса и данных;Дополнительный показатель;Процент;744;;0.0;0.0;;;0.0;;;5.0;;;10.0;;;30.0;;;50.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля Российской Федерации в мировом объеме оказания услуг по хранению и обработке данных;Доля РФ в мировом объеме оказания услуг по хранению и обработке данных;Дополнительный показатель;Процент;744;;0.9;0.9;;;0.9;;;1.5;;;2.0;;;3.0;;;4.0;;;5.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля автомобильных дорог федерального значения, обеспеченных подвижной радиотелефонной связью (обеспечение вызова экстренных служб);Доля автомобильных дорог фед. значения, обеспеченных подвижной радиотелефонной связью;Дополнительный показатель;Процент;744;;96.53;96.53;96.53;;97.0;95.98;;97.5;;;98.0;;;98.5;;;99.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля фельдшерских и фельдшерско-акушерских пунктов государственной и муниципальной систем здравоохранения, подключенных к сети "Интернет";Доля государственных и муниципальных фельдшерских и фельдшерско-акушерских пунктов, подключенных к сети "Интернет";Дополнительный показатель;Процент;744;;8.76;8.76;;;39.17;;;69.58;;;100.0;;;100.0;;;100.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля информационных систем и ресурсов федеральных органов исполнительной власти и государственных внебюджетных фондов, перенесенных в государственную единую облачную платформу по сервисной модели;Доля информационных систем и ресурсов ФОИВ и государственных внебюджетных фондов, перенесенных в государственную единую облачную платформу по сервисной модели;Дополнительный показатель;Процент;744;;25.0;0.0;;;25.0;25.0;;34.0;;;43.0;;;52.0;;;61.0;;;70.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Наличие опорных центров обработки данных в федеральных округах;Наличие опорных центров обработки данных в ФО;Дополнительный показатель;Единица;642;;2.0;2.0;;;3.0;;;4.0;;;5.0;;;6.0;;;7.0;;;8.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Создана единая электронная картографическая основа (ЕЭКО), в том числе крупных масштабов, в целях наполнения государственной информационной системы ведения Единой электронной картографической основы (ГИС ЕЭКО);Создана единая электронная картографическая основа (ЕЭКО);Дополнительный показатель;Процент;744;;13.9;0.0;;;13.9;;;30.2;;;48.7;;;72.3;;;86.3;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля российских данных дистанционного зондирования Земли (далее – ДЗЗ) в общем объеме данных ДЗЗ, используемых в российских геоинформационных системах;Доля российских данных дистанционного зондирования Земли в общем объеме данных;Дополнительный показатель;Процент;744;;30.0;0.0;;;0.0;;;30.0;;;0.0;;;0.0;;;0.0;;;75.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля сертифицированных ЦОД, предоставляющих услуги органам государственной власти и местного самоуправления;Доля сертифицированных ЦОД, предоставляющих услуги ОГВ и ОМСУ;Дополнительный показатель;Процент;744;;30.0;0.0;;;0.0;;;30.0;;;50.0;;;70.0;;;90.0;;;100.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Доля домохозяйств, имеющих возможность широкополосного доступа к сети "Интернет";Доля домохозяйств, имеющих возможность широкополосного доступа к сети "Интернет";Дополнительный показатель;Процент;744;;75.0;75.0;;;79.0;;;84.0;;;89.0;;;92.0;;;95.0;;;97.0;;
D2;Информационная инфраструктура;Информационная инфраструктура;Мощность российских коммерческих ЦОД;Мощность российских коммерческих ЦОД;Дополнительный показатель;Тысяча мест;699;;35.0;35.0;;;40.0;;;45.0;;;50.0;;;55.0;;;65.0;;;80.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Обеспечение подготовки высококвалифицированных кадров для цифровой экономики;Обеспечение подготовки высококвалифицированных кадров для цифровой экономики;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Число принятых на программы высшего образования в сфере информационных технологий и по математиким специальностям;Число принятых на программы высшего образования в сфере ИТ и математики;Основной показатель;Тысяча человек;793;;46.0;46.0;;;50.0;;;60.0;;;80.0;;;90.0;;;100.0;;;120.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Место в рейтинге привлечения талантов The Global Talent Competitiveness Index;Место в рейтинге привлечения талантов The Global Talent Competitiveness Index;Основной показатель;Место;698;;52.0;52.0;;;50.0;;;40.0;;;37.0;;;34.0;;;32.0;;;30.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Количество выпускников системы профессионального образования с ключевыми компетенциями цифровой экономики;Кол-во выпускников системы профобразования с ключевыми компетенциями цифровой экономики;Основной показатель;Тысяча человек;793;;230.0;230.0;;;250.0;;;300.0;;;400.0;;;500.0;;;650.0;;;800.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Доля населения, обладающего цифровой грамотностью и ключевыми компетенциями цифровой экономики;Доля населения, обладающего цифровой грамотностью;Основной показатель;Процент;744;;26.0;26.0;;;27.0;;;30.0;;;32.0;;;36.0;;;38.0;;;40.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Количество специалистов, прошедших переобучение по компетенциям цифровой экономики в рамках дополнительного образования;Количествово специалистов, прошедших переобучение по компетенциям цифровой экономики;Основной показатель;Тысяча человек;793;;200.0;0.0;;;200.0;;;500.0;;;600.0;;;750.0;;;850.0;;;1000.0;;
D3;Кадры для цифровой экономики;Кадры для цифровой экономики;Доля во Всероссийских проверочных работах заданий, при выполнении которых допускается использование цифровых ресурсов (инструментов, источников, сред, сервисов) профессиональной или повседневной деятельности;Доля во Всероссийских проверочных работах заданий, при выполнении которых допускается использование цифровых ресурсов;Основной показатель;Процент;744;;0.0;0.0;;;0.0;;;10.0;;;40.0;;;70.0;;;90.0;;;100.0;;
D4;Информационная безопасность;Информационная безопасность;Использование преимущественно отечественного программного обеспечения государственными органами, органами местного самоуправления и организациями;Использование ОГВ, ОМСУ преимущественно отечественного ПО;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D4;Информационная безопасность;Информационная безопасность;Увеличение внутренних затрат на развитие цифровой экономики за счет всех источников (по доле в валовом внутреннем продукте страны) не менее чем в три раза по сравнению с 2017 годом;Увеличение внутренних затрат на развитие цифровой экономики за счет всех источников (по доле ВВП страны);Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D4;Информационная безопасность;Информационная безопасность;Создание устойчивой и безопасной информационно-телекоммуникационной инфраструктуры высокоскоростной передачи, обработки и хранения больших объемов данных, доступной для всех организаций и домохозяйств;Создание устойчивой и безопасной ИТК инфраструктуры;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D4;Информационная безопасность;Информационная безопасность;Стоимостная доля закупаемого и (или) арендуемого федеральными органами исполнительной власти, органами исполнительной власти субъектов и иными органами государственной власти отечественного программного обеспечения;Стоимостная доля закупаемого и (или) арендуемого ФОИВ, ОИВ, ОГВ отечественного ПО;Дополнительный показатель;Процент;744;;50.0;50.0;;;60.0;;;70.0;;;75.0;;;80.0;;;85.0;;;90.0;;
D4;Информационная безопасность;Информационная безопасность;Средний срок простоя государственных информационных систем в результате компьютерных атак;Средний срок простоя ГИС в результате  компьютерных атак;Дополнительный показатель;Час;356;;65.0;65.0;;;48.0;;;24.0;;;18.0;;;12.0;;;6.0;;;1.0;;
D4;Информационная безопасность;Информационная безопасность;Доля населения, использовавшего отечественные средства защиты информации по субъектам Российской Федерации (в процентах от общей численности населения, использовавшего сеть "Интернет" в течение последних 12 месяцев, соответствующего субъекта);Доля населения, использовавшего отечественные средства защиты информации по субъектам РФ;Дополнительный показатель;Процент;744;;86.0;86.0;;;87.0;;;88.0;;;89.0;;;90.0;;;95.0;;;97.0;;
D4;Информационная безопасность;Информационная безопасность;Количество подготовленных специалистов по образовательным программам в области информационной безопасности, с использованием в образовательном процессе отечественных высокотехнологичных комплексов и средств защиты информации;Кол-во подготовленных специалистов по образовательным программам в области информационной безопасности;Дополнительный показатель;Тысяча человек;793;;7.0;7.0;;;8.4;;;10.08;;;12.1;;;14.52;;;17.42;;;20.9;;
D4;Информационная безопасность;Информационная безопасность;Объем затрат на продукты и услуги в области информационной безопасности;Объем затрат на продукты и услуги в области информационной безопасности;Дополнительный показатель;Миллиард рублей;386;;56.0;56.0;;;67.2;;;80.64;;;96.77;;;116.12;;;139.35;;;167.22;;
D4;Информационная безопасность;Информационная безопасность;Стоимостная доля закупаемого и (или) арендуемого государственными корпорациями, компаниями с государственным участием отечественного программного обеспечения;Стоимостная доля закупаемого и (или) арендуемого госкорпорациями, компаниями с госучастием отечественного ПО;Дополнительный показатель;Процент;744;;40.0;40.0;;;45.0;;;50.0;;;55.0;;;60.0;;;65.0;;;70.0;;
D5;Цифровые технологии;Цифровые технологии;Создание "сквозных" цифровых технологий преимущественно на основе отечественных разработок;Создание "сквозных" цифровых технологий преимущественно на основе отечественных разработок;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D5;Цифровые технологии;Цифровые технологии;Создание комплексной системы финансирования проектов по разработке и (или) внедрению цифровых технологий и платформенных решений, включающей в себя венчурное финансирование и иные институты развития;Создание системы финансирования проектов по разработке и (или) внедрению цифровых технологий и платформенных решений;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D5;Цифровые технологии;Цифровые технологии;Увеличение объема выручки проектов (по разработке наукоемких решений, по продвижению продуктов и услуг по заказу бизнеса) на основе внедрения "сквозных" цифровых технологий компаниями, получившими поддержку в рамках федерального проекта "Цифровые технологии";Увеличение объема выручки проектов на основе внедрения "сквозных" цифровых технологий компаниями;Основной показатель;Процент;744;;100.0;0.0;;;100.0;;;120.0;;;150.0;;;190.0;;;220.0;;;250.0;;
D5;Цифровые технологии;Цифровые технологии;Увеличение затрат на развитие "сквозных" цифровых технологий.;Увеличение затрат на развитие "сквозных" цифровых технологий;Основной показатель;Процент;744;;100.0;0.0;;;100.0;;;125.0;;;150.0;;;200.0;;;250.0;;;300.0;;
D5;Цифровые технологии;Цифровые технологии;Количество РСТ-заявок по "сквозным" цифровым технологиям, организациями получившими поддержку в рамках национального проекта "Цифровая экономика";Количество РСТ-заявок по "сквозным" цифровым технологиям;Основной показатель;Процент;744;;100.0;0.0;;;100.0;;;120.0;;;140.0;;;200.0;;;250.0;;;300.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Разработка и внедрение национального механизма осуществления согласованной политики государств - членов Евразийского экономического союза;Разработка и внедрение национального механизма осуществления согласованной политики государств - членов ЕАЭС;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D6;Цифровое государственное управление;Цифровое государственное управление;Внедрение цифровых технологий и платформенных решений в сферах государственного управления и оказания государственных услуг, в том числе в интересах населения и субъектов малого и среднего предпринимательства, включая индивидуальных предпринимателей;Внедрение цифровых технологий и платформенных решений в сферах госуправления и оказания госуслуг;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля основных данных, прошедших гармонизацию (соответствие мастер-данным);Доля основных данных, прошедших гармонизацию;Дополнительный показатель;Процент;744;;0.0;0.0;;;0.0;;;10.0;;;20.0;;;30.0;;;45.0;;;70.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля электронного документооборота между органами государственной власти Российской Федерации с органами государственной власти государств - членов ЕАЭС и ЕЭК в общем объеме документооборота;Доля электронного документооборота между ОГВ РФ с ОГВ государств - членов ЕАЭС и ЕЭК в общем объеме документооборота;Дополнительный показатель;Процент;744;;0.0;0.0;;;10.0;;;20.0;;;30.0;;;50.0;;;70.0;;;90.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля внутриведомственного и межведомственного юридически значимого электронного документооборота государственных и муниципальных органов и бюджетных учреждений;Доля внутриведомственного и межведомственного юридически значимого электронного документооборота государственных и муниципальныхи бюджетных учреждений;Дополнительный показатель;Процент;744;;2.0;2.0;;;5.0;;;10.0;;;30.0;;;50.0;;;70.0;;;90.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля приоритетных государственных услуг и сервисов, соответствующих целевой модели цифровой трансформации (предоставление без необходимости личного посещения государственных органов и иных организаций, с применением реестровой модели, онлайн (в автоматическом режиме), проактивно);Доля приоритетных госуслуг и сервисов, соответствующих целевой модели цифровой трансформации;Дополнительный показатель;Процент;744;;3.0;3.0;;;6.0;;;15.0;;;40.0;;;60.0;;;80.0;;;100.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля взаимодействий граждан и коммерческих организаций с государственными (муниципальными) органами и бюджетными учреждениями, осуществляемых в цифровом виде;Доля взаимодействий граждан и коммерческих организаций с государственными (муниципальными) органами и бюджетными учреждениями;Дополнительный показатель;Процент;744;;15.0;20.0;;;25.0;;;30.0;;;40.0;;;50.0;;;60.0;;;70.0;;
D6;Цифровое государственное управление;Цифровое государственное управление;Доля отказов при предоставлении приоритетных государственных услуг и сервисов от числа отказов в 2018 году;Доля отказов при предоставлении приоритетных госуслуг и сервисов от числа отказов;Дополнительный показатель;Процент;744;;100.0;100.0;;;95.0;;;90.0;;;80.0;;;70.0;;;60.0;;;50.0;;
E1;Современная школа;Современная школа;Вхождение Российской Федерации к 2024 году в число 10 ведущих стран мира по качеству общего образования посредством обновления содержания и технологий преподавания общеобразовательных программ, вовлечения всех участников системы образования (обучающиеся, педагоги, родители (законные представители), работодатели и представители общественных объединений) в развитие системы общего образования, а также за счет обновления материально-технической базы;Вхождение РФ к 2024 году в число 10 ведущих стран мира по качеству общего образования;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
E1;Современная школа;Современная школа;Средневзвешенный результат Российской Федерации в группе международных исследований, средневзвешенное место Российской Федерации (не ниже);Средневзвешенный результат (место) РФ в группе международных исследований;Основной показатель;Место;698;;14.5;14.5;14.9;;12.5;;;12.0;;;11.5;;;11.0;;;10.5;;;10.0;;
E1;Современная школа;Современная школа;Доля субъектов Российской Федерации, в которых обновлено содержание и методы обучения предметной области "Технология" и других предметных областей, процент;Доля субъектов РФ, в которых обновлено содержание и методы обучения предметных областей;Основной показатель;Процент;744;;0.0;0.0;;;12.0;;;24.0;;;41.0;;;58.0;;;76.0;;;100.0;;
E1;Современная школа;Современная школа;Доля субъектов Российской Федерации, в которых ликвидировано обучение в 3-ю смену, процент;Доля субъектов РФ, в которых ликвидировано обучение в 3-ю смену;Дополнительный показатель;Процент;744;;95.3;95.3;;;96.7;;;98.2;;;99.7;;;100.0;;;100.0;;;100.0;;
E1;Современная школа;Современная школа;Число созданных новых мест в общеобразовательных организациях, расположенных в сельской местности и поселках городского типа, не менее тыс. мест;Число созданных новых мест в общеобразовательных организациях в сельской местности;Дополнительный показатель;Тысяча мест;699;;2.4;2.4;;;4.9;;;9.8;;;15.7;;;20.6;;;24.5;;;24.5;;
E1;Современная школа;Современная школа;Число общеобразовательных организаций, расположенных в сельской местности и малых городах, обновивших материально-техническую базу для реализации основных и дополнительных общеобразовательных программ цифрового, естественнонаучного и гуманитарного профилей, тыс. единиц;Число общеобразовательных организаций, расположенных в сельской местности и малых городах, обновивших материально-техническую базу;Дополнительный показатель;Тысяча единиц;643;;0.0;0.0;;;2.0;;;5.0;;;8.0;;;11.0;;;13.5;;;16.0;;
